Method,Avg (s),Std Dev (s)
Isolated,0.725,0.038
Isolated,1.038,0.048
Isolated,3.396,0.072
Time-slice,0.763,0.055
Time-slice,1.161,0.087
Time-slice,4.091,0.362
MPS,0.763,0.058
MPS,1.162,0.097
MPS,4.024,0.391
GMS,0.675,0.056
GMS,1.061,0.123
GMS,3.800,0.711
